codimuni,codicomarca,provincia,comarca,partitjudicial,municipi,poblacio,homes,dones,greus,moltgreus,siadmuni,siadsnombre,siadstitularitat,tasadenuncia,estimaciodenuncies,tasaateses,estimacioateses,tasaatesesvm
170871,20,Girona,Gironès,Girona,Juià,335,180,129,8,3,No,1,el Consell Comarcal,8.87,1,5.11,0,46.5
170979,20,Girona,Gironès,Girona,Madremanya,282,136,122,7,3,No,1,el Consell Comarcal,8.87,1,5.11,0,46.5
171735,20,Girona,Gironès,Girona,Sant Martí Vell,249,127,103,6,2,No,1,el Consell Comarcal,8.87,1,5.11,0,46.5
172168,20,Girona,Gironès,Girona,Viladasens,204,108,86,5,2,No,1,el Consell Comarcal,8.87,0,5.11,0,46.5
171576,20,Girona,Gironès,Girona,Sant Andreu Salou,156,82,65,4,1,No,1,el Consell Comarcal,8.87,0,5.11,0,46.5
251728,23,Lleida,Noguera,Solsona,Ponts,2604,1299,1134,69,26,No,1,el Consell Comarcal,8.84,6,6.96,5,43.6
250426,23,Lleida,Noguera,Solsona,la Baronia de Rialb,231,121,100,6,2,No,1,el Consell Comarcal,8.84,1,6.96,0,43.6
252496,23,Lleida,Noguera,Solsona,Vilanova de l'Aguda,202,101,93,6,2,No,1,el Consell Comarcal,8.84,1,6.96,0,43.6
252228,23,Lleida,Noguera,Solsona,Tiurana,74,38,35,2,1,No,1,el Consell Comarcal,8.84,0,6.96,0,43.6
251497,4,Lleida,Alt Urgell,Solsona,Oliana,1787,900,784,48,18,No,1,el Consell Comarcal,8.84,4,4.86,2,18.1
251654,4,Lleida,Alt Urgell,Solsona,Peramola,353,175,161,10,4,No,1,el Consell Comarcal,8.84,1,4.86,0,18.1
250447,4,Lleida,Alt Urgell,Solsona,Bassella,231,113,104,6,2,No,1,el Consell Comarcal,8.84,1,4.86,0,18.1
251001,14,Lleida,Berguedà,Solsona,Gósol,209,120,85,5,2,No,1,el Consell Comarcal,8.84,0,4.29,0,57
252075,35,Lleida,Solsonès,Solsona,Solsona,9014,4465,3835,234,88,Solsona,1,el Consell Comarcal,8.84,21,4.09,10,9.1
251517,35,Lleida,Solsonès,Solsona,Olius,961,508,364,22,8,No,1,el Consell Comarcal,8.84,2,4.09,1,9.1
251930,35,Lleida,Solsonès,Solsona,Sant Llorenç de Morunys,934,457,423,26,10,No,1,el Consell Comarcal,8.84,2,4.09,1,9.1
251673,35,Lleida,Solsonès,Solsona,Pinós,298,155,118,7,3,No,1,el Consell Comarcal,8.84,1,4.09,0,9.1
251462,35,Lleida,Solsonès,Solsona,Navès,291,147,124,8,3,No,1,el Consell Comarcal,8.84,1,4.09,0,9.1
251636,35,Lleida,Solsonès,Solsona,la Coma i la Pedra,265,160,99,6,2,No,1,el Consell Comarcal,8.84,1,4.09,0,9.1
251863,35,Lleida,Solsonès,Solsona,Riner,261,130,112,7,3,No,1,el Consell Comarcal,8.84,1,4.09,0,9.1
251484,35,Lleida,Solsonès,Solsona,Odèn,260,153,98,6,2,No,1,el Consell Comarcal,8.84,1,4.09,0,9.1
251667,35,Lleida,Solsonès,Solsona,Pinell de Solsonès,203,119,79,5,2,No,1,el Consell Comarcal,8.84,0,4.09,0,9.1
251291,35,Lleida,Solsonès,Solsona,Llobera,195,107,79,5,2,No,1,el Consell Comarcal,8.84,0,4.09,0,9.1
251240,35,Lleida,Solsonès,Solsona,Lladurs,179,95,75,5,2,No,1,el Consell Comarcal,8.84,0,4.09,0,9.1
